Time,QR,Line,ESD
21-02-2022 09:28:41 UTC,7352210450,Line 1,"-200,05202988783518"
21-02-2022 09:28:43 UTC,7352210450,Line 1,"-200,40074189503989"
21-02-2022 09:28:45 UTC,7352210450,Line 1,"-200,74945390224457"
21-02-2022 09:28:47 UTC,7352210450,Line 1,"-198,65718185901642"
21-02-2022 09:28:49 UTC,7352210450,Line 1,"-195,5187737941742"
21-02-2022 09:28:51 UTC,7352210450,Line 1,"-197,26233383019763"
21-02-2022 09:28:53 UTC,7352210450,Line 1,"-196,56490981578827"
21-02-2022 09:28:55 UTC,7352210450,Line 1,"-199,00589386622113"
21-02-2022 09:28:57 UTC,7352210450,Line 1,"-199,00589386622113"
21-02-2022 09:28:59 UTC,7352210450,Line 1,"-198,3084698518117"
21-02-2022 09:29:01 UTC,7352210450,Line 1,"-197,26233383019763"
21-02-2022 09:29:03 UTC,7352210450,Line 1,"-179,47802146275836"
21-02-2022 09:29:05 UTC,7352210450,Line 1,"35,32857497533159"
21-02-2022 09:29:07 UTC,7352210450,Line 1,"-38,59837055206299"
21-02-2022 09:29:09 UTC,7352210450,Line 1,"-72,77214725812273"
21-02-2022 09:29:12 UTC,7352210450,Line 1,"-149,1400768359502"
21-02-2022 09:29:14 UTC,7352210450,Line 1,"-156,46302898724872"
21-02-2022 09:29:16 UTC,7352210450,Line 1,"-161,34499708811444"
21-02-2022 09:29:18 UTC,7352210450,Line 1,"-164,83211716016132"
21-02-2022 09:29:20 UTC,7352210450,Line 1,"-166,92438920338947"
21-02-2022 09:29:22 UTC,7352210450,Line 1,"-168,66794923941296"
21-02-2022 09:29:24 UTC,7352210450,Line 1,"-169,71408526102704"
21-02-2022 09:29:26 UTC,7352210450,Line 1,"-172,50378131866455"
21-02-2022 09:29:28 UTC,7352210450,Line 1,"-169,01666124661762"
21-02-2022 09:29:30 UTC,7352210450,Line 1,"-169,01666124661762"
21-02-2022 09:29:32 UTC,7352210450,Line 1,"-170,0627972682317"
21-02-2022 09:29:34 UTC,7352210450,Line 1,"-166,2269651889801"
21-02-2022 09:29:36 UTC,7352210450,Line 1,"-165,8782531817754"
21-02-2022 09:29:38 UTC,7352210450,Line 1,"-169,71408526102704"
21-02-2022 09:29:40 UTC,7352210450,Line 1,"-152,62719690799713"
21-02-2022 09:29:42 UTC,7352210450,Line 1,"-174,5960533618927"
21-02-2022 09:29:44 UTC,7352210450,Line 1,"-173,89862934748334"
21-02-2022 09:29:47 UTC,7352210450,Line 1,"-173,89862934748334"
21-02-2022 09:29:49 UTC,7352210450,Line 1,"-174,5960533618927"
21-02-2022 09:29:51 UTC,7352210450,Line 1,"-188,89324565728504"
21-02-2022 09:29:53 UTC,7352210450,Line 1,"-184,01127755641937"
21-02-2022 09:29:55 UTC,7352210450,Line 1,"-179,47802146275836"
21-02-2022 09:29:57 UTC,7352210450,Line 1,"-180,17544547716778"
21-02-2022 09:29:59 UTC,7352210450,Line 1,"-180,17544547716778"
21-02-2022 09:30:01 UTC,7352210450,Line 1,"-180,17544547716778"
21-02-2022 09:30:03 UTC,7352210450,Line 1,"-181,5702935059865"
21-02-2022 09:30:05 UTC,7352210450,Line 1,"-180,17544547716778"
21-02-2022 09:30:07 UTC,7352210450,Line 1,"-182,6164295276006"
21-02-2022 09:30:09 UTC,7352210450,Line 1,"-182,26771752039593"
21-02-2022 09:30:11 UTC,7352210450,Line 1,"-172,50378131866455"
21-02-2022 09:30:13 UTC,7352210450,Line 1,"-173,54991734027863"
21-02-2022 09:30:15 UTC,7352210450,Line 1,"-173,54991734027863"
21-02-2022 09:30:17 UTC,7352210450,Line 1,"-174,9447653690974"
21-02-2022 09:30:19 UTC,7352210450,Line 1,"-175,29347737630206"
21-02-2022 09:30:22 UTC,7352210450,Line 1,"-165,8782531817754"
21-02-2022 09:30:24 UTC,7352210450,Line 1,"-154,37075694402057"
21-02-2022 09:30:26 UTC,7352210450,Line 1,"-155,76560497283936"
21-02-2022 09:30:28 UTC,7352210450,Line 1,"-185,05741357803345"
21-02-2022 09:30:30 UTC,7352210450,Line 1,"-160,29886106650036"
21-02-2022 09:30:32 UTC,7352210450,Line 1,"-165,52954117457074"
21-02-2022 09:30:34 UTC,7352210450,Line 1,"-170,0627972682317"
21-02-2022 09:30:36 UTC,7352210450,Line 1,"-167,97052522500354"
21-02-2022 09:30:38 UTC,7352210450,Line 1,"-170,0627972682317"
21-02-2022 09:30:40 UTC,7352210450,Line 1,"-179,1293094555537"
